industry,return_type,statistic,observations,bootstrap_samples,confidence_level,estimate,ci_lower,ci_upper,ci_width,method,random_seed
HiTec,excess_simple,mean,1201,10000,0.95,0.0089775187,0.0048606744,0.0130276145,0.00816694,percentile bootstrap,42
HiTec,excess_simple,median,1201,10000,0.95,0.0105,0.0066,0.0151,0.0085,percentile bootstrap,42
Telcm,excess_simple,mean,1201,10000,0.95,0.0054383847,0.0028062989,0.0080776769,0.005271378,percentile bootstrap,42
Telcm,excess_simple,median,1201,10000,0.95,0.0071,0.0049,0.0087,0.0038,percentile bootstrap,42
Shops,excess_simple,mean,1201,10000,0.95,0.0076806828,0.0044441528,0.0109737198,0.006529567,percentile bootstrap,42
Shops,excess_simple,median,1201,10000,0.95,0.0089,0.0057,0.0114,0.0057,percentile bootstrap,42
Hlth,excess_simple,mean,1201,10000,0.95,0.0079751873,0.0048826749,0.0110920192,0.0062093443,percentile bootstrap,42
Hlth,excess_simple,median,1201,10000,0.95,0.0081,0.0056,0.0115,0.0059,percentile bootstrap,42
Utils,excess_simple,mean,1201,10000,0.95,0.0061499584,0.003085306,0.0091928747,0.0061075687,percentile bootstrap,42
Utils,excess_simple,median,1201,10000,0.95,0.0081,0.0057,0.0108,0.0051,percentile bootstrap,42
Other,excess_simple,mean,1201,10000,0.95,0.0065555371,0.0029213739,0.0101635366,0.0072421628,percentile bootstrap,42
Other,excess_simple,median,1201,10000,0.95,0.0098,0.0071,0.0132,0.0061,percentile bootstrap,42
